Company_ID,Governorate,Industry,BI_Implementation_Year,Pre_BI_Decision_Making_Agility_Score,Post_BI_Decision_Making_Agility_Score,Pre_BI_Operational_Efficiency_Index,Post_BI_Operational_Efficiency_Index,Pre_BI_Data_Driven_Decisions_Percentage,Post_BI_Data_Driven_Decisions_Percentage,Revenue_Growth_After_BI_Percentage,Cost_Reduction_After_BI_Percentage,Customer_Satisfaction_Increase_After_BI_Percentage,Market_Share_Increase_After_BI_Percentage,Reference,Decision_Making_Agility_Improvement,Operational_Efficiency_Improvement,Data_Driven_Decisions_Improvement,Data_Source,Has_Negative_Agility_Improvement,Has_Negative_Efficiency_Improvement,Is_Recent_Implementation,Data_Quality_Flag,Reference_Standardized,Data_Last_Verified,Data_Version
11,Quneitra,Telecommunications,2022,5.0,9.7,60.9,82.0,37.7,95.5,16.1,17.4,6.0,8.5,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 10),4.699999999999999,21.1,57.8,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
12,Daraa,Services,2019,3.5,9.8,74.0,95.0,48.9,94.0,18.0,12.5,19.4,8.1,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 11),6.300000000000001,21.0,45.1,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
13,Damascus,Services,2024,4.9,5.7,68.3,96.8,47.4,97.0,22.8,14.3,12.2,6.6,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 12),0.7999999999999998,28.5,49.6,Research,False,False,True,Preliminary,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
14,Hama,Finance,2018,6.4,8.7,73.0,83.5,26.6,91.3,7.4,5.6,18.4,5.5,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 13),2.299999999999999,10.5,64.69999999999999,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
15,Idlib,Healthcare,2023,4.4,7.8,56.6,83.9,38.7,82.4,14.4,9.1,9.8,9.8,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 14),3.3999999999999995,27.300000000000004,43.7,Research,False,False,True,Preliminary,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
16,As-Suwayda,Services,2020,6.1,8.5,58.7,96.6,40.7,78.7,29.4,9.3,6.9,2.3,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 15),2.4000000000000004,37.89999999999999,38.0,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
17,Al-Hasakah,Education,2017,4.2,9.7,58.3,87.0,44.3,79.0,20.3,15.3,12.1,7.5,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 16),5.499999999999999,28.700000000000003,34.7,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
18,Latakia,Finance,2023,3.9,8.5,72.2,71.0,44.5,90.3,12.8,3.0,6.7,2.7,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 17),4.6,-1.2000000000000028,45.8,Research,False,True,True,Unusual,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
19,Quneitra,Manufacturing,2022,5.1,9.1,76.1,96.5,35.9,90.9,19.0,7.5,12.3,4.0,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 18),4.0,20.40000000000001,55.00000000000001,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
20,Daraa,Healthcare,2017,5.2,9.2,73.7,77.2,41.8,75.6,14.9,17.7,18.8,3.8,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 19),3.999999999999999,3.5,33.8,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
21,Daraa,Education,2017,6.0,9.1,55.8,86.8,39.4,94.3,19.2,10.1,12.8,9.5,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 20),3.1,31.0,54.9,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
22,Latakia,Education,2017,3.4,7.3,76.7,74.8,51.5,90.0,9.9,8.7,14.2,9.7,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 21),3.9,-1.9000000000000057,38.5,Research,False,True,False,Unusual,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
23,Ar-Raqqah,Manufacturing,2019,4.5,6.5,63.9,71.0,40.9,85.8,10.1,4.8,7.3,2.6,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 22),2.0,7.100000000000001,44.9,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
24,Hama,Healthcare,2022,4.8,7.2,64.9,79.0,38.2,83.2,10.3,17.6,5.7,1.2,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 23),2.4000000000000004,14.099999999999994,45.0,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
25,Quneitra,Finance,2017,5.6,9.3,57.6,92.6,37.1,85.2,28.6,3.3,6.7,7.5,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 24),3.700000000000001,34.99999999999999,48.1,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
26,Tartus,Retail,2020,2.7,6.1,73.4,78.1,42.2,74.5,23.9,14.1,14.0,4.8,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 25),3.3999999999999995,4.699999999999989,32.3,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
27,Hama,Healthcare,2021,6.5,7.7,59.6,76.4,49.1,75.7,10.7,14.5,6.4,1.8,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 26),1.2000000000000002,16.800000000000004,26.6,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
28,Rif Dimashq,Manufacturing,2017,4.4,6.5,69.1,76.2,41.2,72.6,11.3,6.7,10.6,7.2,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 27),2.1,7.1000000000000085,31.39999999999999,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
29,Daraa,Education,2019,3.6,8.0,76.0,84.9,44.8,74.3,23.8,13.1,13.3,5.9,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 28),4.4,8.900000000000006,29.5,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
30,Quneitra,Finance,2023,6.0,9.2,57.2,98.3,47.1,82.7,10.6,4.4,10.8,9.8,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 29),3.2,41.1,35.6,Research,False,False,True,Preliminary,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
31,Latakia,Healthcare,2022,5.5,9.3,68.4,83.3,40.6,84.8,12.4,6.9,7.5,3.0,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 30),3.8000000000000007,14.899999999999991,44.2,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
32,Daraa,Retail,2024,6.3,6.5,60.8,86.2,37.8,70.5,29.2,14.8,9.1,4.6,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 31),0.2000000000000001,25.40000000000001,32.7,Research,False,False,True,Preliminary,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
33,Hama,Retail,2019,3.8,9.4,63.6,95.0,51.3,92.3,12.9,16.0,18.9,5.9,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 32),5.6000000000000005,31.4,41.0,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
34,Damascus,Services,2017,4.7,8.0,66.8,85.5,37.5,78.2,22.2,12.1,15.1,8.1,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 33),3.3,18.700000000000003,40.7,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
35,Damascus,Services,2022,4.8,7.0,63.9,75.3,38.9,95.5,29.5,10.6,12.4,5.9,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 34),2.2,11.4,56.6,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
36,Daraa,Telecommunications,2021,6.4,8.5,71.2,78.7,54.7,97.1,15.6,5.4,5.2,6.5,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 35),2.1,7.5,42.39999999999999,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
37,Quneitra,Manufacturing,2017,2.8,7.6,67.0,79.0,25.0,75.2,7.4,3.9,19.9,3.0,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 36),4.8,12.0,50.2,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
38,Quneitra,Healthcare,2019,3.7,7.1,69.6,81.5,30.6,82.9,12.6,4.8,15.1,8.6,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 37),3.3999999999999995,11.900000000000006,52.3,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
39,Idlib,Healthcare,2018,3.3,8.5,73.4,82.4,36.5,70.0,26.1,6.4,9.8,4.9,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 38),5.2,9.0,33.5,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
40,Ar-Raqqah,Telecommunications,2020,3.6,6.6,68.9,93.2,53.0,86.8,26.9,8.1,18.2,2.3,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 39),3.0,24.3,33.8,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
41,Rif Dimashq,Education,2024,4.4,6.9,69.7,80.1,27.1,87.0,24.7,8.7,8.9,7.0,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 40),2.5,10.399999999999991,59.9,Research,False,False,True,Preliminary,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
42,Al-Hasakah,Education,2023,4.0,7.4,69.1,83.6,25.3,76.9,9.6,8.2,13.2,2.9,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 41),3.4000000000000004,14.5,51.60000000000001,Research,False,False,True,Preliminary,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
43,Idlib,Telecommunications,2019,4.1,6.6,64.5,88.1,26.6,85.6,25.3,6.6,14.5,1.9,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 42),2.5,23.599999999999994,58.99999999999999,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
44,Idlib,Education,2022,5.9,7.2,63.4,81.0,27.7,76.3,28.1,10.6,8.3,8.8,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 43),1.2999999999999998,17.6,48.6,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
45,Rif Dimashq,Services,2024,6.2,8.0,77.5,94.3,26.1,74.5,20.8,15.4,19.7,5.1,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 44),1.7999999999999998,16.799999999999997,48.4,Research,False,False,True,Preliminary,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
46,Latakia,Healthcare,2024,2.8,8.7,70.2,87.0,39.4,88.2,28.6,7.2,16.2,7.7,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 45),5.9,16.799999999999997,48.8,Research,False,False,True,Preliminary,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
47,Damascus,Telecommunications,2024,3.3,8.8,61.1,78.5,42.4,79.1,26.0,17.1,13.4,3.6,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 46),5.500000000000001,17.4,36.7,Research,False,False,True,Preliminary,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
48,Al-Hasakah,Healthcare,2017,5.2,9.0,67.5,90.7,33.2,86.5,22.3,16.1,7.7,8.1,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 47),3.8,23.200000000000003,53.3,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
49,Latakia,Retail,2020,3.9,8.7,63.3,85.3,36.9,82.1,20.3,5.4,5.8,2.0,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 48),4.799999999999999,22.0,45.2,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
50,Idlib,Services,2017,3.5,8.4,78.3,85.5,27.8,97.6,15.0,14.8,9.8,4.2,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 49),4.9,7.200000000000003,69.8,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
51,Quneitra,Finance,2022,3.7,6.5,55.2,84.0,35.1,74.2,10.7,11.6,16.3,9.8,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 50),2.8,28.8,39.1,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
52,Rif Dimashq,Services,2017,3.8,7.2,60.6,84.4,40.7,83.0,20.9,11.5,9.0,8.1,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 51),3.4000000000000004,23.800000000000004,42.3,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
53,Hama,Telecommunications,2018,5.9,7.6,64.1,92.2,47.0,89.1,14.3,8.9,13.1,5.5,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 52),1.6999999999999993,28.10000000000001,42.1,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
54,As-Suwayda,Finance,2020,3.0,5.9,67.2,73.0,25.1,81.1,26.9,10.5,15.9,4.1,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 53),2.9000000000000004,5.799999999999997,55.99999999999999,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
55,Al-Hasakah,Retail,2020,5.3,7.8,76.3,79.7,39.0,97.3,29.8,9.0,6.6,8.8,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 54),2.5,3.4000000000000057,58.3,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
56,As-Suwayda,Telecommunications,2022,4.7,7.4,57.2,72.2,33.9,90.2,24.3,11.1,15.3,5.9,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 55),2.7,15.0,56.3,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
57,Deir ez-Zor,Manufacturing,2023,3.7,8.9,75.1,91.8,50.6,88.4,9.1,12.4,6.4,7.8,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 56),5.2,16.700000000000003,37.8,Research,False,False,True,Preliminary,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
58,Homs,Healthcare,2018,4.2,9.7,56.4,77.9,46.5,91.2,13.6,13.1,19.5,7.8,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 57),5.499999999999999,21.500000000000007,44.7,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
59,Daraa,Retail,2019,3.5,7.9,76.1,96.0,42.7,96.7,9.5,11.0,12.3,1.2,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 58),4.4,19.90000000000001,54.0,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
60,Tartus,Healthcare,2017,4.9,6.9,56.3,85.3,33.3,95.4,22.0,13.8,7.3,2.1,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 59),2.0,29.0,62.10000000000001,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
61,Tartus,Education,2021,2.8,5.7,55.5,93.2,52.3,90.3,24.6,5.1,10.1,6.9,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 60),2.9000000000000004,37.7,38.0,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
62,Aleppo,Manufacturing,2017,2.5,9.5,72.4,98.4,26.4,91.0,28.3,6.2,11.2,2.5,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 61),7.0,26.0,64.6,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
63,Hama,Manufacturing,2024,5.0,9.5,79.9,94.4,28.3,74.1,17.1,15.3,16.4,3.3,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 62),4.5,14.5,45.8,Research,False,False,True,Preliminary,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
64,Homs,Retail,2017,3.3,6.6,77.4,95.1,36.7,72.9,27.7,7.8,16.2,9.5,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 63),3.3,17.69999999999999,36.2,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
65,Deir ez-Zor,Manufacturing,2019,2.8,8.5,69.4,81.8,28.7,86.0,27.2,3.3,14.2,6.0,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 64),5.7,12.399999999999991,57.3,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
66,Damascus,Finance,2017,4.1,5.8,77.9,86.0,53.7,70.5,14.3,5.3,6.6,7.8,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 65),1.7000000000000002,8.099999999999994,16.799999999999997,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
67,Hama,Manufacturing,2018,2.7,6.2,55.1,77.4,48.9,83.5,27.0,6.4,7.3,6.0,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 66),3.5,22.300000000000004,34.6,Research,False,False,False,Normal,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
68,Ar-Raqqah,Healthcare,2018,6.0,6.4,79.4,75.7,32.8,75.9,15.6,17.4,6.4,6.0,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria (Sample 67),0.4000000000000003,-3.700000000000003,43.10000000000001,Research,False,True,False,Unusual,Hayan Hamdan (2022) - Effect of Business Intelligence System on Organizational Agility: Evidence from Syria,2025-12-04,1.1
